ang:-11.59, dist:89.70
ang:-10.97, dist:0.00
ang:-10.37, dist:93.20
ang:-9.77, dist:91.90
ang:-9.17, dist:90.70
ang:-8.56, dist:89.30
ang:-7.97, dist:87.60
ang:-7.36, dist:87.20
ang:-6.75, dist:86.40
ang:-6.16, dist:86.20
ang:-5.55, dist:86.20
ang:-4.95, dist:85.50
ang:-4.34, dist:84.90
ang:-3.73, dist:84.30
ang:-3.14, dist:83.70
ang:-2.53, dist:83.10
ang:-1.94, dist:82.50
ang:-1.33, dist:82.30
ang:-0.72, dist:82.30
ang:-0.13, dist:82.50
ang:0.48, dist:83.00
ang:1.08, dist:83.90
ang:1.69, dist:85.30
ang:2.28, dist:86.70
ang:2.89, dist:88.30
ang:3.50, dist:90.00
ang:4.09, dist:91.70
ang:4.70, dist:93.50
ang:5.30, dist:95.50
ang:5.91, dist:97.70
ang:6.52, dist:99.80
ang:7.11, dist:0.00
ang:7.72, dist:0.00
ang:8.31, dist:0.00
ang:8.92, dist:0.00
ang:9.53, dist:0.00
ang:10.12, dist:99.30
ang:10.73, dist:98.00
ang:11.33, dist:98.50
ang:11.94, dist:98.90
ang:12.55, dist:99.10
ang:13.17, dist:99.10
ang:13.77, dist:99.00
ang:14.36, dist:98.80
ang:14.97, dist:98.70
ang:15.56, dist:98.50
ang:16.17, dist:98.20
ang:18.00, dist:98.10
ang:18.59, dist:98.00
ang:19.20, dist:98.00
ang:19.81, dist:97.90
ang:20.41, dist:97.90
ang:21.02, dist:97.90
ang:21.63, dist:97.80
ang:22.22, dist:97.90
ang:22.83, dist:97.90
ang:23.44, dist:98.00
ang:24.03, dist:98.10
ang:24.64, dist:98.20
ang:25.25, dist:98.30
ang:25.84, dist:98.50
ang:26.45, dist:98.50
ang:27.06, dist:98.90
ang:27.66, dist:98.50
ang:28.27, dist:98.50
ang:28.88, dist:97.70
ang:29.47, dist:97.90
ang:30.08, dist:98.60
ang:30.69, dist:99.20
ang:31.28, dist:0.00
ang:31.89, dist:0.00
ang:32.50, dist:0.00
ang:33.09, dist:0.00
ang:33.70, dist:0.00
ang:34.31, dist:0.00
