ang:-11.56, dist:0.00
ang:-10.87, dist:0.00
ang:-10.23, dist:0.00
ang:-9.58, dist:0.00
ang:-8.94, dist:0.00
ang:-8.28, dist:0.00
ang:-7.64, dist:0.00
ang:-6.98, dist:0.00
ang:-6.34, dist:0.00
ang:-5.69, dist:0.00
ang:-5.03, dist:0.00
ang:-4.39, dist:0.00
ang:-3.73, dist:0.00
ang:-3.09, dist:0.00
ang:-2.44, dist:0.00
ang:-1.80, dist:0.00
ang:-1.14, dist:0.00
ang:-0.48, dist:0.00
ang:0.16, dist:0.00
ang:0.81, dist:0.00
ang:1.45, dist:0.00
ang:2.11, dist:0.00
ang:2.75, dist:0.00
ang:3.41, dist:0.00
ang:4.05, dist:0.00
ang:4.70, dist:0.00
ang:5.36, dist:0.00
ang:6.00, dist:0.00
ang:6.66, dist:0.00
ang:7.30, dist:0.00
ang:7.95, dist:0.00
ang:8.59, dist:0.00
ang:9.25, dist:0.00
ang:9.91, dist:0.00
ang:10.55, dist:0.00
ang:11.20, dist:0.00
ang:11.84, dist:0.00
ang:12.50, dist:0.00
ang:13.14, dist:0.00
ang:13.80, dist:0.00
ang:14.45, dist:0.00
ang:15.14, dist:0.00
ang:15.78, dist:0.00
ang:16.44, dist:0.00
ang:17.08, dist:0.00
ang:17.73, dist:0.00
ang:18.38, dist:0.00
ang:19.03, dist:0.00
ang:19.67, dist:0.00
ang:20.33, dist:0.00
ang:20.97, dist:0.00
ang:21.63, dist:0.00
ang:22.27, dist:0.00
ang:22.92, dist:0.00
ang:23.56, dist:0.00
ang:24.22, dist:0.00
ang:24.86, dist:0.00
ang:25.52, dist:0.00
ang:26.16, dist:0.00
ang:26.81, dist:0.00
ang:27.45, dist:0.00
ang:28.11, dist:0.00
ang:28.75, dist:0.00
ang:29.41, dist:0.00
ang:30.05, dist:0.00
ang:30.70, dist:0.00
ang:31.34, dist:0.00
ang:32.00, dist:0.00
ang:32.64, dist:0.00
ang:33.30, dist:0.00
ang:33.94, dist:0.00
ang:34.59, dist:0.00
ang:35.23, dist:0.00
ang:35.89, dist:0.00
ang:36.53, dist:0.00
ang:37.19, dist:0.00
ang:37.83, dist:0.00
ang:38.48, dist:0.00
ang:39.13, dist:0.00
ang:39.78, dist:0.00
ang:40.44, dist:0.00
ang:41.03, dist:0.00
ang:41.67, dist:0.00
ang:42.33, dist:0.00
ang:42.97, dist:0.00
ang:43.62, dist:0.00
ang:44.28, dist:0.00
ang:44.92, dist:0.00
ang:45.58, dist:0.00
ang:46.22, dist:0.00
ang:46.88, dist:0.00
ang:47.53, dist:0.00
ang:48.17, dist:0.00
ang:48.83, dist:0.00
ang:49.48, dist:0.00
ang:50.12, dist:0.00
ang:50.78, dist:0.00
ang:51.42, dist:0.00
ang:52.08, dist:0.00
ang:52.73, dist:0.00
ang:53.38, dist:0.00
ang:54.03, dist:0.00
ang:54.67, dist:0.00
ang:55.33, dist:0.00
ang:55.98, dist:0.00
ang:56.63, dist:0.00
ang:57.28, dist:0.00
ang:57.94, dist:0.00
ang:58.58, dist:0.00
ang:59.23, dist:0.00
ang:59.88, dist:0.00
ang:60.53, dist:0.00
ang:61.19, dist:0.00
ang:61.83, dist:0.00
ang:62.48, dist:0.00
ang:63.12, dist:0.00
ang:63.78, dist:0.00
ang:64.44, dist:0.00
ang:65.08, dist:0.00
ang:65.73, dist:0.00
ang:66.39, dist:0.00
ang:67.06, dist:0.00
ang:67.70, dist:0.00
ang:68.36, dist:0.00
ang:69.00, dist:0.00
ang:69.66, dist:0.00
ang:70.30, dist:0.00
ang:70.95, dist:0.00
ang:71.59, dist:0.00
ang:72.25, dist:0.00
ang:72.91, dist:0.00
ang:73.55, dist:0.00
ang:74.20, dist:0.00
ang:74.84, dist:0.00
ang:75.50, dist:0.00
ang:76.14, dist:0.00
ang:76.80, dist:0.00
ang:77.45, dist:0.00
ang:78.09, dist:0.00
ang:78.75, dist:0.00
ang:79.39, dist:16.92
ang:80.05, dist:16.92
ang:80.69, dist:16.92
ang:81.34, dist:16.82
ang:81.98, dist:16.73
ang:82.64, dist:16.73
ang:83.30, dist:16.73
ang:83.94, dist:16.73
ang:84.59, dist:16.73
ang:85.23, dist:16.73
ang:85.89, dist:16.82
ang:86.53, dist:16.92
ang:87.19, dist:17.02
ang:87.84, dist:17.00
ang:88.48, dist:0.00
ang:89.14, dist:0.00
ang:89.78, dist:0.00
ang:-89.50, dist:16.63
ang:-88.86, dist:16.63
ang:-88.20, dist:16.63
ang:-87.56, dist:16.63
ang:-86.91, dist:16.63
ang:-86.25, dist:16.63
ang:-85.58, dist:16.63
ang:-84.94, dist:16.63
ang:-84.30, dist:16.63
ang:-83.66, dist:16.73
ang:-83.02, dist:16.73
ang:-82.36, dist:16.73
ang:-81.72, dist:16.73
ang:-81.08, dist:16.82
ang:-80.44, dist:16.73
ang:-79.78, dist:16.82
ang:-79.14, dist:16.82
ang:-78.50, dist:0.00
ang:-77.86, dist:0.00
ang:-77.20, dist:0.00
ang:-76.56, dist:0.00
ang:-75.92, dist:0.00
ang:-75.28, dist:0.00
ang:-74.64, dist:0.00
ang:-73.98, dist:0.00
ang:-73.34, dist:0.00
ang:-72.70, dist:0.00
ang:-72.06, dist:0.00
ang:-71.41, dist:0.00
ang:-70.77, dist:47.50
ang:-70.12, dist:47.30
ang:-69.48, dist:47.90
ang:-68.83, dist:47.70
ang:-68.19, dist:47.70
ang:-67.55, dist:47.70
ang:-66.91, dist:47.70
ang:-66.27, dist:47.70
ang:-65.61, dist:47.80
ang:-64.97, dist:47.80
ang:-64.33, dist:46.70
ang:-63.69, dist:48.30
ang:-63.03, dist:48.60
ang:-62.39, dist:48.90
ang:-61.75, dist:49.30
ang:-61.11, dist:49.60
ang:-60.45, dist:50.00
ang:-59.78, dist:50.80
ang:-59.14, dist:51.80
ang:-58.50, dist:53.00
ang:-57.84, dist:54.60
ang:-57.20, dist:56.80
ang:-56.56, dist:59.70
ang:-55.91, dist:0.00
ang:-55.27, dist:0.00
ang:-54.63, dist:52.90
ang:-53.97, dist:0.00
