ang:-11.64, dist:34.73
ang:-10.98, dist:35.32
ang:-10.36, dist:36.02
ang:-9.73, dist:36.83
ang:-9.11, dist:36.02
ang:-8.48, dist:36.43
ang:-7.86, dist:36.72
ang:-7.23, dist:37.02
ang:-6.59, dist:37.22
ang:-5.97, dist:37.53
ang:-5.34, dist:37.83
ang:-4.72, dist:38.03
ang:-4.09, dist:38.23
ang:-3.47, dist:38.53
ang:-2.83, dist:38.80
ang:-2.20, dist:39.10
ang:-1.58, dist:39.50
ang:-0.95, dist:39.90
ang:-0.33, dist:40.30
ang:0.30, dist:40.70
ang:0.92, dist:41.10
ang:1.56, dist:41.60
ang:2.19, dist:42.10
ang:2.81, dist:42.60
ang:3.44, dist:43.20
ang:4.06, dist:43.80
ang:4.69, dist:44.50
ang:5.33, dist:45.10
ang:5.95, dist:45.50
ang:6.58, dist:45.90
ang:7.20, dist:0.00
ang:7.83, dist:44.93
ang:8.45, dist:46.52
ang:9.08, dist:47.20
ang:9.72, dist:48.30
ang:10.34, dist:49.90
ang:10.97, dist:51.00
ang:11.59, dist:0.00
ang:12.22, dist:0.00
ang:12.84, dist:51.05
ang:13.48, dist:53.43
ang:14.14, dist:55.92
ang:14.77, dist:59.13
ang:15.39, dist:62.02
ang:16.02, dist:0.00
ang:16.64, dist:85.60
ang:17.27, dist:85.30
ang:17.89, dist:85.90
ang:18.52, dist:86.60
ang:19.14, dist:87.30
ang:19.77, dist:87.90
ang:20.39, dist:88.60
ang:21.02, dist:89.30
ang:21.64, dist:90.00
ang:22.27, dist:90.80
ang:22.89, dist:91.70
ang:23.52, dist:92.40
ang:24.14, dist:93.50
ang:24.77, dist:94.40
ang:25.39, dist:95.20
ang:26.02, dist:96.10
ang:26.64, dist:97.00
ang:27.27, dist:98.10
ang:27.89, dist:99.40
ang:28.52, dist:0.00
ang:29.14, dist:0.00
ang:29.77, dist:0.00
ang:30.39, dist:0.00
ang:31.02, dist:0.00
ang:31.64, dist:0.00
ang:32.27, dist:0.00
ang:32.89, dist:0.00
ang:33.52, dist:0.00
ang:34.14, dist:0.00
ang:34.77, dist:0.00
ang:35.39, dist:0.00
ang:36.02, dist:0.00
ang:36.64, dist:0.00
ang:37.27, dist:0.00
ang:37.89, dist:0.00
ang:38.53, dist:0.00
ang:39.19, dist:0.00
ang:39.81, dist:0.00
ang:40.44, dist:0.00
ang:41.06, dist:0.00
ang:41.69, dist:0.00
ang:42.31, dist:0.00
ang:42.94, dist:0.00
ang:43.56, dist:0.00
ang:44.19, dist:0.00
ang:44.81, dist:0.00
ang:45.45, dist:0.00
ang:46.08, dist:0.00
ang:46.70, dist:0.00
ang:47.33, dist:0.00
ang:47.95, dist:0.00
ang:48.58, dist:0.00
ang:49.20, dist:0.00
ang:49.83, dist:0.00
ang:50.45, dist:0.00
ang:51.08, dist:0.00
ang:51.72, dist:0.00
ang:52.34, dist:0.00
ang:52.97, dist:0.00
ang:53.59, dist:0.00
ang:54.22, dist:0.00
ang:54.84, dist:0.00
ang:55.47, dist:0.00
ang:56.09, dist:0.00
ang:56.72, dist:0.00
ang:57.34, dist:0.00
ang:57.98, dist:0.00
ang:58.61, dist:0.00
ang:59.23, dist:0.00
ang:59.86, dist:0.00
ang:60.48, dist:0.00
ang:61.11, dist:0.00
ang:61.73, dist:0.00
ang:62.36, dist:0.00
ang:62.98, dist:0.00
ang:63.63, dist:0.00
ang:64.20, dist:0.00
ang:64.83, dist:0.00
ang:65.45, dist:0.00
ang:66.08, dist:0.00
ang:66.70, dist:0.00
ang:67.34, dist:0.00
ang:67.97, dist:0.00
ang:68.59, dist:0.00
ang:69.22, dist:94.70
ang:69.84, dist:96.20
ang:70.48, dist:97.80
ang:71.11, dist:99.60
ang:71.73, dist:0.00
ang:72.36, dist:0.00
ang:72.98, dist:0.00
ang:73.62, dist:0.00
ang:74.25, dist:0.00
ang:74.87, dist:0.00
ang:75.50, dist:0.00
ang:76.12, dist:0.00
ang:76.77, dist:0.00
ang:77.39, dist:0.00
ang:78.02, dist:0.00
ang:78.64, dist:0.00
ang:79.27, dist:16.92
ang:79.91, dist:16.92
ang:80.53, dist:16.82
ang:81.16, dist:16.82
ang:81.78, dist:16.73
ang:82.41, dist:16.73
ang:83.05, dist:16.63
ang:83.67, dist:16.63
ang:84.30, dist:16.63
ang:84.92, dist:16.63
ang:85.55, dist:16.63
ang:86.19, dist:16.73
ang:86.81, dist:16.92
ang:87.44, dist:17.02
ang:88.06, dist:17.23
ang:88.70, dist:0.00
ang:89.36, dist:0.00
ang:89.97, dist:0.00
ang:-89.53, dist:16.15
ang:-88.89, dist:16.15
ang:-88.27, dist:16.15
ang:-87.64, dist:16.15
ang:-87.02, dist:16.15
ang:-86.39, dist:16.15
ang:-85.75, dist:16.12
ang:-85.12, dist:16.12
ang:-84.50, dist:16.22
ang:-83.88, dist:16.22
ang:-83.25, dist:16.22
ang:-82.61, dist:16.22
ang:-81.98, dist:16.32
ang:-81.36, dist:16.32
ang:-80.73, dist:16.32
